date,ticker,weight,universe,method
2021-11-01,PLD,3.693988377400145e-17,Equity,Max-Sharpe (tangency)
2021-11-01,PSA,0.21032268576085178,Equity,Max-Sharpe (tangency)
2021-11-01,QCOM,5.822274924606653e-17,Equity,Max-Sharpe (tangency)
2021-11-01,SBUX,1.6804523039133534e-17,Equity,Max-Sharpe (tangency)
2021-11-01,SHW,6.157746277909625e-17,Equity,Max-Sharpe (tangency)
2021-11-01,SLB,8.158766553847647e-18,Equity,Max-Sharpe (tangency)
2021-11-01,SO,8.984359435125975e-18,Equity,Max-Sharpe (tangency)
2021-11-01,T,1.3352315080889445e-18,Equity,Max-Sharpe (tangency)
2021-11-01,TMUS,2.8431290546605384e-17,Equity,Max-Sharpe (tangency)
2021-11-01,TTWO,5.2018971608563584e-17,Equity,Max-Sharpe (tangency)
2021-11-01,UPS,0.10640115698003323,Equity,Max-Sharpe (tangency)
2021-11-01,USB,1.3437952971719164e-17,Equity,Max-Sharpe (tangency)
2021-11-01,V,1.0852474607321187e-17,Equity,Max-Sharpe (tangency)
2021-11-01,WFC,9.884166778875682e-18,Equity,Max-Sharpe (tangency)
2021-11-01,WMT,1.2211743997828974e-17,Equity,Max-Sharpe (tangency)
2021-11-01,XOM,1.1710892163924003e-17,Equity,Max-Sharpe (tangency)
2021-12-01,ABBV,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,ABT,1.7416552956436845e-17,Equity,Max-Sharpe (tangency)
2021-12-01,ADBE,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,AEP,1.0574555969362634e-20,Equity,Max-Sharpe (tangency)
2021-12-01,AMD,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,AMGN,1.119638117051265e-18,Equity,Max-Sharpe (tangency)
2021-12-01,AMT,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,BA,1.3731026987565024e-19,Equity,Max-Sharpe (tangency)
2021-12-01,CAT,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,CCI,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,CMCSA,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,COP,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,CVX,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,D,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,DD,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,DIS,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,DOW,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,DUK,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,EA,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,GE,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,GILD,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,GS,1.617571875924188e-17,Equity,Max-Sharpe (tangency)
2021-12-01,INTC,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,KO,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,MMM,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,MRK,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,MS,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,NEE,1.4344908453677204e-17,Equity,Max-Sharpe (tangency)
2021-12-01,NEM,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,NKE,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,NUE,0.1350326259271979,Equity,Max-Sharpe (tangency)
2021-12-01,NVDA,0.6499862615600853,Equity,Max-Sharpe (tangency)
2021-12-01,O,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,OXY,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,PLD,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,PSA,0.2031873260678678,Equity,Max-Sharpe (tangency)
2021-12-01,QCOM,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,SBUX,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,SHW,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,SLB,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,SO,1.218722050609004e-18,Equity,Max-Sharpe (tangency)
2021-12-01,T,5.195050825409751e-19,Equity,Max-Sharpe (tangency)
2021-12-01,TMUS,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,TTWO,8.489898802785044e-18,Equity,Max-Sharpe (tangency)
2021-12-01,UPS,0.01179378644484895,Equity,Max-Sharpe (tangency)
2021-12-01,USB,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,V,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,WFC,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,WMT,0.0,Equity,Max-Sharpe (tangency)
2021-12-01,XOM,1.6291033436557545e-18,Equity,Max-Sharpe (tangency)
2022-01-03,ABBV,0.04047230025703184,Equity,Max-Sharpe (tangency)
2022-01-03,ABT,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,ADBE,1.6793044947884784e-17,Equity,Max-Sharpe (tangency)
2022-01-03,AEP,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,AMD,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,AMGN,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,AMT,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,BA,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,CAT,8.241964239191538e-18,Equity,Max-Sharpe (tangency)
